Time CPU_use RAM_filled Net_bytes_sent Net_bytes_received Temperature Disk_IO_percentage
14:43:55 29.3 662757376 708014738 82716548 46.738 0.00018227561074861048
14:43:56 28.8 664870912 708014986 82716796 45.764 0.0002734131669401558
14:43:57 29.2 670228480 708015482 82717292 45.764 0.0003645455734370223
14:43:58 28.7 674455552 708015730 82717540 46.738 0.0003645455734370223
14:43:59 28.8 680095744 708015978 82717788 45.764 0.0003645455734370223
14:44:01 29.7 683511808 708016614 82718154 47.225 0.0003645455734370223
14:44:02 29.3 688369664 708016862 82718402 47.225 0.00036454025777552977
14:44:03 28.1 691941376 708017358 82718898 46.251 0.00045567532221941223
14:44:05 28.7 715632640 708017606 82719146 47.712 0.00045567532221941223
14:44:06 29.1 713416704 708017854 82719394 47.225 0.00045567532221941223
14:44:07 28.9 720850944 708018102 82719642 47.225 0.00045567490693979213
14:44:08 28.9 710086656 708018350 82719890 46.738 0.0005468098883277505
14:44:09 29.1 704057344 708018598 82720138 47.225 0.0005468078949946572
14:44:10 28.8 714022912 708018846 82720386 46.738 0.0005468078949946572
14:44:11 28.7 720150528 708019342 82720882 47.225 0.0005468078949946572
14:44:12 29.1 729645056 708019590 82721130 46.738 0.0005468073966636547
14:44:13 28.1 733835264 708019838 82721378 47.225 0.000637940218622113
14:44:15 28.9 729460736 708020086 82721626 47.712 0.000637940218622113
14:44:16 29.4 747991040 708020334 82721874 47.712 0.000637940218622113
14:44:17 29.0 736268288 708020582 82722122 47.225 0.000637940218622113
14:44:18 28.8 751157248 708020830 82722370 47.712 0.000637939637240182
14:44:19 29.3 733364224 708021078 82722618 47.712 0.0007290738711316366
14:44:20 29.0 746758144 708021510 82723050 48.199 0.0007290718778294254
14:44:21 29.2 754122752 708021758 82723298 48.199 0.0007290718778294254
14:44:22 29.2 744747008 708022006 82723546 47.712 0.0007290718778294254
14:44:23 29.1 745541632 708022254 82723794 46.251 0.0007290712133977772
14:44:24 28.9 757256192 708022502 82724042 47.225 0.0008202051150724993
14:44:25 28.8 751308800 708023110 82724668 47.712 0.0008202028726238609
14:44:27 28.7 777629696 708023358 82724916 47.225 0.0008202028726238609
14:44:28 29.4 768557056 708023606 82725164 47.225 0.0008202028726238609
