Time CPU_use RAM_filled Net_bytes_sent Net_bytes_received Temperature Disk_IO_percentage
14:43:57 29.8 603791360 142819427 601710733 47.225 0.0001721383161494466
14:43:58 29.6 608583680 142820171 601711477 47.225 0.00025820725198736206
14:43:59 29.2 607989760 142820667 601711973 47.225 0.0003442721876162927
14:44:00 29.8 611172352 142821163 601712469 48.199 0.0003442721876162927
14:44:01 29.4 611217408 142822087 601713083 47.225 0.0003442721876162927
14:44:02 29.3 615759872 142822583 601713579 48.686 0.0003442721876162927
14:44:03 29.5 619450368 142823079 601714075 47.712 0.0003442721876162927
14:44:04 28.8 622456832 142823575 601714571 47.712 0.00034426803934940655
14:44:05 29.0 626630656 142824071 601715067 48.199 0.00043033504918675824
14:44:06 29.2 625348608 142824567 601715563 47.712 0.00043033504918675824
14:44:07 29.0 627253248 142825063 601716059 48.686 0.00043033504918675824
14:44:08 29.2 630091776 142825921 601716971 48.199 0.0004303339380600998
14:44:10 28.8 634236928 142826417 601717467 48.199 0.0004303335676858221
14:44:11 28.8 637071360 142826913 601717963 48.686 0.0005164002812229865
14:44:12 29.8 635863040 142827409 601718459 48.686 0.0005164002812229865
14:44:13 29.1 637845504 142828153 601719203 49.173 0.0005164002812229865
14:44:14 28.5 641196032 142828897 601719947 49.173 0.0005164002812229865
14:44:15 29.4 645853184 142829393 601720443 48.199 0.0005163985034341038
14:44:17 29.4 645586944 142829889 601720939 48.199 0.0006024649206731211
14:44:18 29.0 650772480 142830881 601721931 49.173 0.0006024649206731211
14:44:19 29.3 655826944 142831377 601722427 48.686 0.0006024649206731211
14:44:20 29.1 652574720 142831873 601722923 48.199 0.0006024633651172206
14:44:21 28.3 655896576 142832439 601723489 48.686 0.0006024628466003721
14:44:23 29.4 658788352 142833183 601724233 48.686 0.0006885289675432824
14:44:24 29.8 659927040 142833997 601725047 49.66 0.0006885289675432824
14:44:25 29.4 661843968 142834493 601725543 50.634 0.0006885289675432824
14:44:26 28.3 663420928 142834989 601726039 49.173 0.0006885271897773507
14:44:28 29.1 668459008 142835733 601726783 49.173 0.0006885265971907469
14:44:29 29.0 670265344 142836385 601727435 48.199 0.0007745924218395902
14:44:30 28.3 671379456 142837377 601728487 48.686 0.0007745924218395902
14:44:32 29.8 672714752 142838121 601729231 49.173 0.0007745924218395902
14:44:33 29.3 679706624 142838865 601729975 49.66 0.0007745904218666875
14:44:34 29.2 677974016 142839361 601730471 49.66 0.0007745897552113485
14:44:35 28.9 679571456 142840601 601731711 50.634 0.0008606552835681649
14:44:36 28.3 681324544 142841345 601732455 50.147 0.0008606552835681649
14:44:37 29.5 684294144 142842089 601733199 50.147 0.0008606552835681649
14:44:38 29.1 685441024 142843045 601734241 50.147 0.0008606530613913511
14:44:40 28.7 687378432 142844037 601735233 50.147 0.0008606523206682965
14:44:41 28.9 689176576 142845029 601736225 49.66 0.0009467175527351262
14:44:42 29.5 691290112 142845525 601736721 49.66 0.0009467175527351262
14:44:44 29.6 692088832 142846559 601737773 49.173 0.0009467175527351262
14:44:45 29.5 694448128 142847303 601738517 49.173 0.000946715108357461
14:44:46 28.6 697921536 142848543 601739757 50.147 0.0009467142935677111
14:44:47 28.6 699379712 142849535 601741629 50.634 0.001032779229346594
14:44:48 29.2 706158592 142850031 601742125 49.66 0.001032779229346594
14:44:49 28.5 704917504 142850775 601742869 50.147 0.001032779229346594
14:44:51 29.1 706023424 142852171 601745145 50.634 0.0010327765627711374
14:44:52 28.9 706764800 142853233 601746207 50.634 0.001032775673915712
14:44:53 29.0 709943296 142853977 601746951 49.66 0.001118840313408688
14:44:54 29.6 710995968 142854473 601747447 49.66 0.001118840313408688
14:44:56 28.4 712798208 142855287 601748261 49.66 0.001118840313408688
14:44:57 29.1 714665984 142856527 601749608 49.66 0.001118840313408688
14:44:58 29.3 720076800 142857519 601750600 49.66 0.0011188354987999951
14:44:59 28.8 718610432 142858511 601751592 49.66 0.0012048997679384563
14:45:00 28.7 719900672 142859007 601752088 51.121 0.0012048997679384563
14:45:01 29.1 719732736 142860067 601752702 50.147 0.0012048997679384563
14:45:02 28.8 722788352 142860563 601753198 50.147 0.0012909640370769174
14:45:03 29.2 724594688 142861307 601753942 50.634 0.0012909640370769174
14:45:04 28.9 727506944 142862051 601754793 49.173 0.0012909584818070062
14:45:05 28.7 731549696 142862547 601755289 50.147 0.0013770223805941399
14:45:06 29.0 733097984 142863539 601756281 50.634 0.0013770223805941399
14:45:07 28.8 733097984 142864283 601757025 50.634 0.0013770223805941399
14:45:08 29.6 734646272 142865637 601758433 49.66 0.0013770223805941399
14:45:09 28.9 736444416 142866629 601759425 50.147 0.0013770164550238992
14:45:10 28.3 738222080 142867621 601760504 49.66 0.0013770128997062337
14:45:11 29.8 740028416 142868365 601761248 51.121 0.0014630762059378733
14:45:12 28.4 741834752 142869109 601761992 50.147 0.0014630762059378733
14:45:13 30.5 1056460800 142870101 601762984 51.121 0.0014630762059378733
14:45:14 33.0 1340518400 142871093 601764063 50.147 0.0014630762059378733
14:45:15 31.4 1279762432 142871837 601764807 50.634 0.0014630724284323598
14:45:16 38.3 1235390464 142872581 601765551 51.121 0.0014630711692681902
14:45:17 39.4 1180008448 142873077 601766047 51.608 0.0015491341792251425
14:45:18 30.5 1388867584 142874069 601767039 51.608 0.0015491341792251425
14:45:19 33.3 1226194944 142939423 601769619 50.634 0.0015491341792251425
14:45:20 34.7 748163072 143008779 601772339 50.147 0.0015491341792251425
14:45:21 21.7 748384256 143091020 601775602 49.173 0.0015491301795409603
14:45:23 4.8 748609536 143091586 601776168 49.173 0.0015491288463174895
14:45:24 3.8 749420544 143092082 601776664 49.173 0.0016351915600017943
14:45:25 5.0 751714304 143092826 601777408 48.686 0.0016351915600017943
14:45:26 4.3 751394816 143093322 601777904 48.686 0.0016351915600017943
14:45:27 4.8 751411200 143093972 601778590 48.686 0.001635187338142003
14:45:28 6.0 752488448 143095240 601783656 48.199 0.001635187338142003
14:45:29 6.7 751800320 143096172 601786094 48.199 0.0016351859308602508
14:45:30 7.7 752058368 143096668 601786590 47.712 0.0017212483482739484
14:45:31 7.4 752857088 143097164 601787086 47.712 0.0017212483482739484
14:45:32 5.7 752824320 143097702 601787642 47.712 0.0017212439042416075
14:45:33 6.9 752623616 143098198 601788138 47.225 0.0017212439042416075
14:45:34 7.7 753160192 143098694 601788634 48.199 0.0017212439042416075
14:45:35 7.4 753160192 143099190 601789130 48.199 0.0017212424229025936
14:45:36 7.2 752390144 143099686 601789626 47.712 0.0018073045440477231
14:45:37 8.1 752058368 143100182 601790122 48.199 0.0018073045440477231
14:45:38 6.9 751431680 143100890 601790846 47.712 0.0018072998778458922
14:45:39 7.7 751390720 143101738 601792548 48.199 0.0018072998778458922
14:45:40 7.4 750264320 143102234 601793044 48.199 0.0018072998778458922
14:45:41 6.7 750780416 143102730 601793540 46.738 0.0018072983224506362
